Type_ID,Description,Variable,Unit,Segment
0,Unknown,-,-,0
1010,Battery Instant Voltage,BIV,V,1
1020,Battery Average Current,BAC,mA,1
1030,Battery State of Charge,BSOC,%,1
1040,Battery Temperature,BT,C,1
1050,Battery Full Capacity,BFC,mAh,1
1060,Battery Instant Capacity,BIC,mAh,1
1070,Battery Charge State,BCS,-,1
4010,Air Temperature,AT,C,4
4020,Air Humidity,AH,%,4
4030,Air Pressure,AP,hPa,4
4040,UV Index,UV,-,4
4050,Visual Light,VL,Lux,4
4060,Infrared Light,IL,Lux,4
4070,Soil Temperature 0,ST0,C,4
4071,Soil Temperature 1,ST1,C,4
4072,Soil Temperature 2,ST2,C,4
4073,Soil Temperature 3,ST3,C,4
4074,Soil Temperature 4,ST4,C,4
4075,Soil Temperature 5,ST5,C,4
4076,Soil Temperature 6,ST6,C,4
4077,Soil Temperature 7,ST7,C,4
4078,Soil Temperature 8,ST8,C,4
4079,Soil Temperature 9,ST9,C,4
4080,Rain,R,m/Sn,4
4090,Wind Speed,WS,m/Sn,4
4100,Wind Direction,WD,Degree,4
5010,Water Pressure IN,WPIN,Bar,5
5020,Water Pressure OUT,WPOUT,Bar,5
5030,Water Flow IN,WFIN,m3/h,5
5040,Water Flow OUT,WFOUT,m3/h,5
5050,Water Temperature IN,WTIN,C,5
5060,Water Temperature OUT,WTOUT,C,5
5070,Water Level,WL,m,5
6010,Phase R Instant Voltage,VR,V,6
6020,Phase S Instant Voltage,VS,V,6
6030,Phase T Instant Voltage,VT,V,6
6040,Phase R RMS Voltage,VR_RMS,V,6
6050,Phase S RMS Voltage,VS_RMS,V,6
6060,Phase T RMS Voltage,VT_RMS,V,6
6070,Phase A RMS Voltage,VA_RMS,V,6
6080,Phase R Instant Current,IR,A,6
6090,Phase S Instant Current,IS,A,6
6100,Phase T Instant Current,IT,A,6
6110,Phase R RMS Current,IR_RMS,A,6
6120,Phase S RMS Current,IS_RMS,A,6
6130,Phase T RMS Current,IT_RMS,A,6
6140,Phase A RMS Current,IA_RMS,A,6
3001,GSM TAC ID,TAC,-,3
3002,GSM LAC ID,LAC,-,3
3003,GSM Cell ID,Cell_ID,-,3
3004,Latitude,Latitude,Degree,3
3005,Longitude,Longitude,Degree,3
